"No.","Time","Source","Destination","Protocol","Length","Info"
"100","9.433340","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=77352 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 111]"
"101","9.433588","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=78812 Win=244736 Len=0"
"102","9.433589","10.30.217.62","128.135.24.73","TCP","54","[TCP Window Update] 64561  >  443 [ACK] Seq=6476 Ack=78812 Win=262144 Len=0"
"103","9.436085","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=78812 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 111]"
"104","9.436086","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=80272 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 111]"
"105","9.436159","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=81732 Win=259264 Len=0"
"106","9.520299","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=81732 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 111]"
"107","9.520300","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=83192 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 111]"
"108","9.520302","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=84652 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 111]"
"109","9.520469","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=86112 Win=257792 Len=0"
"110","9.520470","10.30.217.62","128.135.24.73","TCP","54","[TCP Window Update] 64561  >  443 [ACK] Seq=6476 Ack=86112 Win=262144 Len=0"
"111","9.522377","128.135.24.73","10.30.217.62","TLSv1.2","1514","Application Data"
"112","9.522378","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=87572 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
"113","9.522379","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=89032 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
"114","9.522544","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=90492 Win=257792 Len=0"
"115","9.522544","10.30.217.62","128.135.24.73","TCP","54","[TCP Window Update] 64561  >  443 [ACK] Seq=6476 Ack=90492 Win=262144 Len=0"
"116","9.524423","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=90492 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
"117","9.524425","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=91952 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
"118","9.524511","10.30.217.62","128.135.24.73","TCP","54","64561  >  443 [ACK] Seq=6476 Ack=93412 Win=259264 Len=0"
"119","9.526815","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=93412 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
"120","9.526816","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=94872 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
"121","9.526816","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [ACK] Seq=96332 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
"122","9.526818","128.135.24.73","10.30.217.62","TCP","1514","443  >  64561 [PSH, ACK] Seq=97792 Ack=6476 Win=64128 Len=1460 [TCP PDU reassembled in 128]"
